epoch	training_time	val_time
1	0.4936351776123047	0.04873204231262207
2	0.4497048854827881	0.03396296501159668
3	0.3977510929107666	0.07390189170837402
4	0.4091188907623291	0.03310680389404297
5	0.45565104484558105	0.035687923431396484
6	0.3905200958251953	0.073883056640625
7	0.41228699684143066	0.03238725662231445
8	0.43570613861083984	0.03275609016418457
9	0.43644213676452637	0.032215118408203125
10	0.4055757522583008	0.03297686576843262
11	0.4558579921722412	0.03287982940673828
12	0.4409637451171875	0.03259420394897461
13	0.39094090461730957	0.03266000747680664
14	0.4463188648223877	0.0327601432800293
15	0.4580211639404297	0.03214406967163086
16	0.4027278423309326	0.0772397518157959
17	0.39633798599243164	0.03237605094909668
18	0.45355701446533203	0.03219914436340332
19	0.38839221000671387	0.07635927200317383
20	0.3967571258544922	0.03208780288696289
21	0.45212292671203613	0.03185105323791504
22	0.4436531066894531	0.03293108940124512
23	0.3965129852294922	0.03171896934509277
24	0.4439387321472168	0.03218221664428711
25	0.44929003715515137	0.03265023231506348
26	0.3918468952178955	0.03288984298706055
27	0.44201111793518066	0.033493995666503906
28	0.44012022018432617	0.0317842960357666
29	0.40050625801086426	0.07362103462219238
30	0.39272403717041016	0.032861948013305664
31	0.4476749897003174	0.033110857009887695
32	0.3977019786834717	0.07570576667785645
33	0.4022800922393799	0.03268575668334961
34	0.4342978000640869	0.03283286094665527
35	0.43784403800964355	0.03246307373046875
36	0.39699411392211914	0.032537221908569336
37	0.4399712085723877	0.031847238540649414
38	0.4324948787689209	0.032510995864868164
39	0.39830589294433594	0.03354024887084961
40	0.45059728622436523	0.033167123794555664
41	0.4404296875	0.03268313407897949
42	0.4074690341949463	0.07492613792419434
43	0.39826202392578125	0.03332996368408203
44	0.4492349624633789	0.03155994415283203
45	0.39707493782043457	0.07525300979614258
46	0.3956618309020996	0.03300905227661133
47	0.44184207916259766	0.03227710723876953
48	0.4480283260345459	0.03266501426696777
49	0.3910999298095703	0.03297591209411621
50	0.44373202323913574	0.03205585479736328
51	0.44700098037719727	0.03220105171203613
52	0.38707900047302246	0.03297305107116699
53	0.5440077781677246	0.03267097473144531
54	0.471538782119751	0.03319597244262695
55	0.4020547866821289	0.07445597648620605
56	0.4410858154296875	0.03304696083068848
57	0.4373741149902344	0.032550811767578125
58	0.3978271484375	0.07809710502624512
59	0.3975718021392822	0.032981157302856445
60	0.44588375091552734	0.046980857849121094
61	0.46022796630859375	0.03332400321960449
62	0.41768980026245117	0.032476186752319336
63	0.445451021194458	0.03189396858215332
64	0.4703669548034668	0.03285980224609375
65	0.3921520709991455	0.0334470272064209
66	0.4329867362976074	0.03229808807373047
67	0.4433929920196533	0.03322291374206543
68	0.39882326126098633	0.07889890670776367
69	0.41100597381591797	0.03276181221008301
70	0.4423832893371582	0.03313708305358887
71	0.4584970474243164	0.08013200759887695
72	0.426954984664917	0.031527042388916016
73	0.47354793548583984	0.031131982803344727
74	0.4874880313873291	0.03401660919189453
75	0.4053828716278076	0.03237104415893555
